TierID_TVD;TierID_ITB;GebDat;LaktNr;KalbeDat;BesDat;BesZeit;Experte;VZGNr;BetrNr;SchemaVonDb;DLC_ANMELDUNG_ID;DLC_GP_ID;DLC_DURCHFUEHRUNG_ID;DLC_NRLAKT;DLC_EU;DLC_EU1;DLC_EU2;DLC_EU3;DLC_EU4;DLC_EU5;DLC_EU6;DLC_EU7;DLC_FO;DLC_FO1;DLC_FO2;DLC_FO3;DLC_FO4;DLC_FO5;DLC_FO6;DLC_FU;DLC_FU1;DLC_FU2;DLC_FU3;DLC_HH;DLC_FU4;DLC_KM1;DLC_KM2;DLC_KM3;DLC_P;DLC_UM1;DLC_UM2;DLC_UM3;DLC_UM4;DLC_UM5;DLC_ZI;DLC_ZI1;DLC_ZI2;DLC_ZI3;DLC_ZI4;DLC_ZI5;DLC_ZUSATZZITZEN;DLC_ZUSATZZITZEN_BLIND;DLC_FO7;DLC_FO8;DLC_UM6;DLC_BCS;DLC_RA;DLC_BE;DLC_KM4;DLC_KM5;DLC_KM6;DLC_EU8;DLC_INT;DLC_MC;DLC_FO9;DLC_FO10;DLC_FO11;DLC_FO12;DLC_FO13;DLC_FO14;DLC_FO15;DLC_FO16;DLC_FU5;DLC_FU6;DLC_FU7;DLC_FU8;DLC_FU9;DLC_FU10;DLC_FU11;DLC_UM7;DLC_UM8;DLC_UM9;DLC_UM10;DLC_UM11;DLC_ZI6;DLC_EU9;DLC_FO17;DLC_ZI8;DLC_ZI7;DLC_FOK;DLC_BEK;DLC_EUK;DLC_ZIK;DLC_KM7;DLC_KM8;DLC_KM9;DLC_KM10;DLC_KM11;DLC_KM12;DLC_FUK;DLC_UM12;DLC_KM13;DLC_FO18;DLC_ZWLABEL_ID;DLC_FO19;DLC_FO20;DLC_FO21;DLC_UM13;bugweit;ueberhueftet;beckenGefirstet;unterbunden;weisseFlecken;zuHell;zuDunkel;bluemGurt;eingefallenerMastdarm;verkuerzterUnterkiefer;ausdruck;engesSprunggelenk;kuhhaessig;klauenGespreizt;zwischenklauenwarzen;zehenweit;gangUnregelmaessig;schwellungAmUnterschenkel;gestuft;nacheuterAngehoben;kaltfluss;spaltungSeitlich;fleischig;milchbruechig;zugespitzt;flaschenfoermig;nurVorneLang;stellungNachVorn;dreistrichigkeit;gesenkteLende;weicherRuecken;offenerWiderrist;unregelmaessigerGang;grob;zwischenklauenwarze;gespreizteKlauen;engeSprunggelenke;lockereKnie1;zehenweitVorn;aufgesetzerSchwanzans;schmaleLende;zuWenigGedeckt;bemerkungenZuDenZitzen;zitzenTrichterfoermig;zitzenUnterbunden;zitzenSeitlichEng;zitzenHintenEng;zitzenHintenWeit;zitzenGespreizt;afterzitzen;engesBecken;klauenzwang;zwischenzitzen;vielEutervolumen;hintenEng;seitlichZuwenigGespalten;gestuftesVoreuter;bemerkungenZumEuter;zitzenSchraeg;Kraempfig;zuHoherHuefthoecker;hoherSchwanz;kopfGrobKurz;kurzerDickerHals;schulterBugweit;volleSprunggelenke;hiSchulterSchwach;schwacherRuecken;karpfigerRuecken;hohesBecken;schwachesNacheuter;hintereZitzenZuWeitHinten;vorneNichtAusgeglichen;vorneRund;zuWenigKapazitaet;zuWenigGeteilt;hintenNichtAusgeglichen;kurzesVoreuter;zuVielKapazitaet;nachAussenVorn;unerwuenschterKopf;schraegesGesicht;engeHerzpartie;hueftgelenkZuWeitHinten;groberSchwanz;eingedrueckterSchwanz;eingefMastdarm;seitlichEng;blindeAfterzitzen;ohneKanal;seitlichSehrWeit;lebendeAfterzitzen;zitzenNichtSenkrecht;trichterfoermig;astloch;doppelzitze;hintenAngehoben;wenigFarbe;unausgeglichen;schwacheLende;weicheFesseln;unproduktiverViertel;grobeZitzen;zuFeineZitzen;zitzenZugespitzt;XBeinevorn;steileFesseln;blind;einhodig;lockereKnie2;charakter;umdreherZuWeitHinten;nichtRgswuerdig;schwarzeFlecken;Nacheuterverbindung;DruesigkeitEutertextur;DruesigkeitEutertexturPlus;DruesigkeitEutertexturMinus;ausdruckPlus;ausdruckMinus;Schema
CH120019015832;HWDCHEF120019015832;19920415;1;19950101;19951127;;28;826;62;;;;;1;75;4;6;;;5;;7;75;;4;;5;6;5;85;4;;5;;5;114;163;;80;;;;;;85;5;7;5;5;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
US000681232349;BSWUSAF000068123234;20081001;2;20120102;20121201;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;US 91 90 94 90 90 92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CH120017485156;TGRCHEF120017485156;20010510;1;20041113;20041130;;40;828;900;;;;;1;;;;;;;;;;;;;;;;;;;;;;116;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CH120016213927;TGRCHEF120016213927;19950522;1;19980218;19980402;;40;828;900;;;;;1;4;;;;;;;;3;;;;;;3;4;;;;;;122;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CH120054931708;TGRCHEF120054931708;20061209;1;20090505;20100421;;40;828;156;;;;;1;;;;;;;;;;;;;;;;;;;;;;123;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CH810009011165;HWDCHEF810009011165;19970612;1;20000101;20000327;;28;222;19;;;;;1;75;4;4;;4;5;;6;85;;4;7;5;6;5;95;5;7;5;;5;116;80;168;83;;;;;;75;5;;7;7;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
US000007957758;BSWUSAF000000795775;19900125;4;19951210;19961101;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;US 90 90 88 90 92 90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CH120096532420;TGRCHEF120096532420;20120409;1;20140930;20150416;;40;828;182;;;;;1;4;;;;;;;;4;;;;;;3;4;;;;;;123;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CH120005825223;TGRCHEF120005825223;20010512;2;20050406;20050409;;40;825;100;;;;;2;;;;;;;;;;;;;;;;;;;;;;117;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CH120009168715;TGRCHEF120009168715;19921217;2;19961216;19980124;;40;828;900;;;;;2;3;;;;;;;;4;;;;;;4;3;;;;;;121;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CH120015468205;TGRCHEF120015468205;20020520;1;20051121;20060522;;40;828;173;;;;;1;;;;;;;;;;;;;;;;;;;;;;123;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CH120022399233;TGRCHEF120022399233;19900708;1;19920313;19931109;;40;828;124;;;;;1;2;;;;;;;;3;;;;;;3;4;;;;;;114;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CH120052016117;TGRCHEF120052016117;20060228;1;20100126;20101230;;40;828;113;;;;;1;;;;;;;;;;;;;;;;;;;;;;126;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CH120022580198;TGRCHEF120022580198;20010603;2;20040923;20041130;;40;828;21;;;;;2;;;;;;;;;;;;;;;;;;;;;;126;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CH117000941294;TGRCHEF117000941294;19940929;1;19961005;19980401;;40;828;900;;;;;1;3;;;;;;;;3;;;;;;2;3;;;;;;118;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CH120056936275;TGRCHEF120056936275;20060529;3;20110407;20111130;;40;828;144;;;;;3;3;;;;;;;;4;;;;;;3;4;;;;;;120;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CH120090704311;TGRCHEF120090704311;20100831;1;20121221;20130426;;40;828;46;;;;;1;3;;;;;;;;4;;;;;;2;5;;;;;;114;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DE009339306402;BSWDEUF000933930640;20010406;2;20041125;20041216;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DE 90 88 92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CH120022952568;TGRCHEF120022952568;20030214;1;20060215;20061031;;40;828;38;;;;;1;;;;;;;;;;;;;;;;;;;;;;127;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
US000008856289;BSWUSAF000000885628;19971223;5;20070126;20070801;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;US 91 88 94 91 88 92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CH900001927936;XXXCHEF900001927936;19991110;1;20021226;20030307;;40;828;900;;;;;1;;;;;;;;;;;;;;;;;;;;;;116;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DE009443895489;BSWDEUF000944389548;20091018;1;20111127;20120101;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DE 84-87-89-88 / 87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
US000008890108;BSWUSAF000000889010;19990417;7;20101003;20110501;;;;;;;;;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;US 90 90 91 90 90 90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DE009102763890;BSWDEUF000910276389;19920227;2;19950810;19951001;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DE 8 7 8 9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CH120040679706;TGRCHEF120040679706;20031026;2;20070129;20071107;;40;828;136;;;;;2;;;;;;;;;;;;;;;;;;;;;;123;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CH120101984039;TGRCHEF120101984039;20120114;1;20131223;20140407;;40;828;900;;;;;1;4;;;;;;;;4;;;;;;4;4;;;;;;120;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CH120000839836;TGRCHEF120000839836;20020118;2;20041116;20050422;;40;828;153;;;;;2;;;;;;;;;;;;;;;;;;;;;;117;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CH820000952633;TGRCHEF820000952633;19951229;1;19980804;19990413;;40;825;900;;;;;1;2;;;;;;;;3;;;;;;2;3;;;;;;119;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CH120016240930;TGRCHEF120016240930;19941115;1;19971027;19980121;;40;828;900;;;;;1;4;;;;;;;;4;;;;;;3;4;;;;;;114;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CH810009014814;HWDCHEF810009014814;19980818;3;20030213;20031023;;28;826;353;;;;;3;75;5;5;;5;6;;7;85;;6;7;5;7;6;75;4;7;3;;5;121;;;78;;;;;;75;5;7;7;5;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
US000008423559;BSWUSAF000000842355;19940901;4;20010609;20031201;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;US 88 89 88 93 86 86;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
US000009361171;BSWUSAF000000936117;20041204;1;20070317;20071001;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;V85 +82 V86 +83 +83 V88 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CH820000920892;TGRCHEF820000920892;19920709;1;19950721;19960422;;40;825;900;;;;;1;3;;;;;;;;4;;;;;;3;4;;;;;;118;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CH120072961060;TGRCHEF120072961060;20090602;1;20111122;20120330;;40;828;72;;;;;1;4;;;;;;;;4;;;;;;4;4;;;;;;110;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DE009104468489;BSWDEUF000910446848;19951018;1;19971228;19980201;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DE 9 9 9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CH120093975190;TGRCHEF120093975190;20120126;1;20140302;20140408;;40;828;59;;;;;1;3;;;;;;;;4;;;;;;3;5;;;;;;115;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CH120013217331;TGRCHEF120013217331;19980101;1;20010929;20011219;;40;828;900;;;;;1;;;;;;;;;;;;;;;;;;;;;;121;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DE008142619594;BSWDEUF000814611959;20091204;1;20120212;20121028;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DE 85 82 84 86 89;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CH120013280519;TGRCHEF120013280519;20011230;1;20040425;20050318;;40;828;900;;;;;1;;;;;;;;;;;;;;;;;;;;;;120;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CH120102576400;TGRCHEF120102576400;20130213;1;20151229;20160409;;40;828;180;;;;;1;4;;;;;;;;4;;;;;;5;5;;;;;;112;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CH120028379376;TGRCHEF120028379376;20031024;2;20070613;20080416;;40;828;162;;;;;2;;;;;;;;;;;;;;;;;;;;;;119;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CH120005500182;TGRCHEF120005500182;20001026;1;20030102;20040412;;40;828;129;;;;;1;;;;;;;;;;;;;;;;;;;;;;119;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CH120061876542;TGRCHEF120061876542;20080902;2;20120415;20130104;;40;828;900;;;;;2;4;;;;;;;;4;;;;;;4;4;;;;;;125;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IT210011337061;BSWITAF021001133706;20021102;1;20041116;20041207;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;IT 89 89 89 88 90 88;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
